time,f1,f2,f3
0.001,--undefined--,--undefined--,--undefined--
0.002,--undefined--,--undefined--,--undefined--
0.003,--undefined--,--undefined--,--undefined--
0.004,--undefined--,--undefined--,--undefined--
0.005,--undefined--,--undefined--,--undefined--
0.006,--undefined--,--undefined--,--undefined--
0.007,--undefined--,--undefined--,--undefined--
0.008,--undefined--,--undefined--,--undefined--
0.009000000000000001,--undefined--,--undefined--,--undefined--
0.01,--undefined--,--undefined--,--undefined--
0.011,--undefined--,--undefined--,--undefined--
0.012,--undefined--,--undefined--,--undefined--
0.013000000000000001,--undefined--,--undefined--,--undefined--
0.014,--undefined--,--undefined--,--undefined--
0.015,--undefined--,--undefined--,--undefined--
0.016,--undefined--,--undefined--,--undefined--
0.017,--undefined--,--undefined--,--undefined--
0.018000000000000002,--undefined--,--undefined--,--undefined--
0.019,--undefined--,--undefined--,--undefined--
0.02,--undefined--,--undefined--,--undefined--
0.021,--undefined--,--undefined--,--undefined--
0.022,--undefined--,--undefined--,--undefined--
0.023,--undefined--,--undefined--,--undefined--
0.024,--undefined--,--undefined--,--undefined--
0.025,1206.3596192616048,2296.2199729929866,3346.4328773541292
0.026000000000000002,1227.5175093927974,2287.5667839954117,3362.965351325635
0.027,1236.1373617648208,2268.4368488612686,3375.5310513792697
0.028,1235.9791367979121,2235.6915979440287,3372.801024231395
0.029,1230.7750019804503,2184.7644908989687,3305.379563699851
0.03,1223.6142731228651,2120.1762939873724,3176.316347482102
0.031,1217.2381854288521,2059.4907145053794,3108.3558703793396
0.032,1213.8912593213104,2013.7786941650565,3087.244470114605
0.033,1214.6144635069152,1982.413024841853,3087.1046019116916
0.034,1219.11952412855,1961.1137943512397,3096.317752276937
0.035,1226.589002665803,1946.1754848535995,3109.4846776690365
0.036000000000000004,1236.5102816395581,1935.9677888246301,3123.454263509926
0.037,1248.374020125776,1931.9632935380694,3135.981247113836
0.038,1259.9988160705016,1938.5172814419752,3145.41186340454
0.039,1266.5964017262538,1958.6179971091312,3150.1664067086
0.04,1262.924162225849,1987.034787549514,3146.397419824101
0.041,1244.920806949441,2011.8601056389846,3123.4686456619384
0.042,1207.9808373432204,2025.0336715501417,3069.5508385307353
0.043000000000000003,1148.312920741075,2027.00693957715,2999.865073542127
0.044,1070.9687478023652,2022.3417995750667,2943.0792875950797
0.045,991.7620895945978,2014.2309041321519,2907.6439192718326
0.046,925.4860837712637,2003.6647257475133,2887.708847337093
0.047,877.7802974700014,1991.1773110775885,2876.2630428815687
0.048,847.8036896338948,1977.929760138607,2869.2344728888465
0.049,833.1485354406002,1965.8349678721431,2864.715730927378
0.05,832.175096615727,1957.2723931603803,2861.689656064988
0.051000000000000004,843.9883757049969,1954.6044050275202,2859.519034547478
0.052000000000000005,867.0623300307512,1959.3780251458918,2858.0227584162562
0.053,897.6795018293822,1971.1775619519633,2857.662435082485
0.054,930.0092269553444,1986.8090895424896,2859.537431769954
0.055,958.4858273224385,2001.1248206412533,2865.240562812495
0.056,980.2020500359898,2009.3679917200247,2876.816167485041
0.057,995.0263546233317,2008.6480753580609,2896.4980277476707
0.058,1004.0984661798575,1997.7352951994628,2925.0635717715786
0.059000000000000004,1008.7541778418819,1977.5376846153308,2959.2555981329742
0.06,1010.7706831014686,1952.6075069698086,2992.3152732509634
0.061,1012.8683659860376,1930.0050185591767,3018.4528107228552
0.062,1017.8415908952446,1915.2209083190871,3035.440032897422
0.063,1026.659629731107,1909.7239648839013,3043.600914596747
0.064,1037.8830903157523,1911.655079873609,3044.4123960905017
0.065,1049.1736102341465,1917.7263960915739,3040.0584972817037
0.066,1058.97215598918,1924.86691791094,3033.202591576703
0.067,1066.9705061725244,1930.9217606656116,3026.4004794690045
0.068,1073.7843940195928,1934.340562866641,3021.3737012043616
0.069,1080.4642675887467,1933.5734474657672,3018.6432382967846
0.07,1088.0324717976894,1927.3247942826288,3017.8561216890134
0.07100000000000001,1096.8368016481863,1916.1870802380615,3018.3718864105613
0.07200000000000001,1105.6814086682962,1904.609417786216,3019.376696979444
0.073,1111.7690676795075,1900.5324017600385,3019.491785783609
0.074,1112.5382908237427,1910.811507509031,3016.390127306371
0.075,1107.7247721427282,1936.241851740974,3007.00861324509
0.076,1098.9928651231576,1971.9241243436848,2989.0521880213873
0.077,1088.2743510375637,2011.5788290892226,2964.1953962540724
0.078,1077.1237975214028,2051.116914111498,2940.175092399941
0.079,1066.8248970415918,2089.4300457602417,2926.934575453302
0.08,1058.225001167981,2126.442731943239,2930.170520133897
0.081,1051.656726851479,2161.128141406355,2949.8102561127253
0.082,1047.6705252487538,2192.065171342432,2982.988853666366
0.083,1047.9928410853408,2218.8373865040694,3027.6008449248898
0.084,1055.7325057432658,2242.261144361421,3084.715286233622
0.085,1074.5314247790193,2263.7549792737755,3157.377133520214
0.08600000000000001,1106.5962633162158,2283.866966837296,3234.9320391250462
0.08700000000000001,1149.5982795368159,2300.354957531446,3288.6841757827697
0.088,1194.5436668803202,2309.4047357209247,3317.9421634061455
0.089,1230.4955281900563,2309.568069566032,3336.473088328251
0.09,1253.0451967874994,2301.837310039489,3351.3818304008832
0.091,1264.5198923358735,2286.8385375265734,3363.3967903798366
0.092,1269.1974587569425,2262.87764284175,3367.3848541211687
0.093,1270.4575247037164,2225.3173239036264,3349.757788839084
0.094,1270.0465126681404,2169.556147466602,3290.42073562007
0.095,1268.6942480664022,2102.061817455188,3207.264295565
0.096,1267.4518464490848,2041.1681886180388,3152.7947526232897
0.097,1268.0513407335477,1996.653025005262,3131.1293472482403
0.098,1271.8507829033408,1966.5743223808972,3128.05551253488
0.099,1279.3528266195717,1946.2656197748015,3134.2623289952926
0.1,1290.729348813876,1933.2211845562772,3144.529207287259
0.101,1305.5538425934546,1929.3393485396941,3155.896711354689
0.10200000000000001,1320.7582422051705,1941.4790815785948,3167.3533031596908
0.10300000000000001,1330.2940988964308,1975.3902048440555,3179.616568740351
0.10400000000000001,1330.0198259941644,2022.7305774957822,3192.2855367697184
0.105,1319.2119198988473,2062.230803509068,3188.635545878563
0.106,1295.4796829560473,2078.9588372388075,3114.3374367461643
0.107,1251.2341657629313,2073.2971174408635,3005.9457908558106
